user,รหัสจังหวัด,รหัสกลุ่ม,รหัสผู้ทะเบียน,ผู้เก็บข้อมูล,ท่านแสดงความคิดเห็นหรือร้องเรียนให้สถานบริการรับทราบทุกครั้งเมื่อมีปัญหาในการรับบริการ,ท่านจัดเวลาในการดูแลสุขภาพช่องปากได้สม่ำเสมอเป็นประจำทุกวัน,ท่านอ่านฉลากเพื่อดูคุณลักษณะของผลิตภัณฑ์ดูแลสุขภาพช่องปากให้ตรงตามที่ต้องการ ก่อนซื้อทุกครั้ง,ท่านรู้สึกอายที่ต้องอ้าปากให้หมอฟันตรวจ,ท่านเปรียบเทียบข้อมูลจากหลาย ๆ แหล่งทุกครั้งก่อนตัดสินใจเชื่อเสมอ,เมื่อขนแปรงสีฟันบาน ท่านเปลี่ยนแปรงสีฟันทันที,ท่านตรวจสุขภาพช่องปากกับหมอฟันเป็นประจำทุกปี,ท่านสามารถเลือกผลิตภัณฑ์ที่มีคุณสมบัติเหมาะกับสภาพช่องปากตนเองได้ทุกครั้ง,ท่านสามารถแนะนำวิธีการขจัดความกลัวในการทำฟันแก่คนอื่นๆได้,ท่านตรวจสอบความถูกต้องของข้อมูลจากหลายๆแหล่งก่อนนำมาใช้ดูแลช่องปากเสมอ,คนใกล้ชิดคอยเตือนเสมอ ถ้าพบว่าท่านมีปัญหาสุขภาพช่องปาก,ท่านลำบากใจในการพูดคุยปัญหากลิ่นปากกับคนอื่น ๆ,ท่านรู้ว่าสิทธิประโยชน์ตามสิทธิการรักษาของท่านเป็นอย่างดี,ท่านสามารถให้คำแนะนำการดูแลสุขภาพช่องปากแก่คนอื่น ๆด้วยความมั่นใจ,ท่านมีหลายช่องทางในการหาความรู้เกี่ยวกับการรักษาความสะอาดช่องปาก,ท่านหลีกเลี่ยงการรับประทานอาหารที่อาจทำร้ายเหงือกและฟันเสมอ,ท่านสามารถนำสิ่งที่หมอฟันแนะนำมาปฏิบัติในชีวิตประจำวันได้อย่างถูกต้องครบถ้วน,ท่านสามารถจัดการค่าใช้จ่ายในการรักษาปัญหาสุขภาพช่องปากได้ทุกครั้ง,ตัวท่านมีบทบาทสำคัญที่สุดในการดูแลรักษาสุขภาพช่องปาก,ท่านรู้สึกไม่อยากพูดคุยกับหมอฟันขณะทำฟัน,ท่านเข้าใจทุกอย่างที่หมอฟันอธิบายเกี่ยวกับสุขภาพช่องปากของท่าน,ท่านซักถามข้อสงสัยต่างๆกับหมอฟันจนเข้าใจดีเกี่ยวกับปัญหาสุขภาพช่องปาก,ท่านใช้ไหมขัดฟันทำความสะอาดได้ทุกซอกฟัน วันละ 1 ครั้ง,ถ้าท่านมารับบริการทำฟัน ท่านมีส่วนร่วมตัดสินใจเลือกการรักษาทุกครั้ง,ท่านสามารถตัดสินใจได้ว่าเมื่อไรควรไปพบหมอฟัน,ท่านเข้าใจเนื้อหาบนฉลากของผลิตภัณฑ์ดูแลสุขภาพช่องปากได้เป็นอย่างดี,ท่านเลือกสถานบริการที่แก้ปัญหาสุขภาพช่องปากได้ตรงตามความต้องการของท่านทุกครั้ง,ท่านรู้ลักษณะที่ดีของผลิตภัณฑ์แต่ละชนิดในการดูแลสุขภาพช่องปาก,ท่านรู้ว่าถ้าสุขภาพช่องปากไม่ดี อาจทำให้ป่วยเป็นโรคอื่นๆได้,ท่านใช้สิทธิการรักษาของตนเองทุกครั้งที่ไปรับบริการ,ท่านตรวจสอบความสะอาดช่องปากหลังทำความสะอาดทุกครั้ง,ท่านสามารถค้นหาข้อมูลที่ถูกต้องได้ตามที่ต้องการเสมอเกี่ยวกับการดูแลสุขภาพช่องปาก,ท่านเข้าใจข้อมูลเกี่ยวกับการรักษาสุขภาพช่องปากจากสื่อต่างๆได้ดีพอที่จะนำไปใช้ได้,ท่านรู้ดีว่าสุขภาพช่องปากของตนเองเป็นอย่างไร,ท่านถามค่าใช้จ่ายในการรักษากับหมอฟันทุกครั้งก่อนเริ่มการรักษา,ท่านคิดว่าใช้น้ำยาบ้วนปากทดแทนการแปรงฟันได้,ท่านสามารถซักถามข้อสงสัยเกี่ยวกับสิทธิการรักษาจากเจ้าหน้าที่,ฉันดูแลสุขภาพช่องปากได้เป็นอย่างดีทำให้มั่นใจในการยิ้ม พูดคุยกับคนอื่นๆ,ท่านสามารถแนะนำคนอื่น ๆ ในการเลือกผลิตภัณฑ์ดูแลสุขภาพช่องปากที่เหมาะสมได้,การทำงานของท่านเป็นอุปสรรคต่อการดูแลสุขภาพช่องปาก,ท่านสามารถหาข้อมูลเกี่ยวกับการให้บริการทันตกรรมของโรงพยาบาล/ คลินิกทำฟันได้,สมาชิกในครอบครัวท่าน ใส่ใจดูแลสุขภาพช่องปากให้กันและกันอย่างสม่ำเสมอ,ท่านอ่านฉลากในการเลือกยาสีฟันที่มีส่วนผสมของฟลูออไรด์ใช้เสมอ,ท่านสามารถหาข้อมูลที่ต้องการได้ทุกครั้งเกี่ยวกับการดูแลความสะอาดช่องปาก,ท่านกล้าบอกหมอฟันว่าท่านกลัวการทำฟัน,ท่านแปรงฟันทั่วทุกซี่ วันละ 2 ครั้ง ครั้งละ อย่างน้อย 2 นาที ด้วยยาสีฟันที่มีฟลูออไรด์ทุกครั้ง,ท่านรู้สึกว่ายากที่จะเข้าใจข้อมูลเกี่ยวกับสุขภาพช่องปาก,ท่านสามารถขอความช่วยเหลือในการดูแลสุขภาพช่องปาก จากครอบครัว เพื่อน หรือคนใกล้ชิด ยามที่ท่านต้องการ,ความกลัวไม่มีผลต่อการตัดสินใจไปทำฟัน,ท่านไปหาหมอฟัน เมื่อมีอาการรุนแรงจนทนไม่ไหวทุกครั้ง,ท่านค้นหาข้อมูลจากหลายๆแหล่งเสมอเกี่ยวกับวิธีการดูแลสุขภาพช่องปาก,ท่านรู้ว่ามีบริการด้านทันตกรรมอะไรบ้าง ใกล้ที่พักอาศัย,แม้จะรู้สึกกลัวการทำฟัน แต่ท่านสามารถมารับการรักษาทุกครั้ง,ท่านกล้าซักถามขั้นตอนการรักษาหรือปัญหาที่จะเกิดขึ้นก่อนรับการรักษา,ท่านสามารถบอกได้ว่าอะไรเป็นเหตุอาจทำให้ท่านมีสุขภาพช่องปากไม่ดี,ท่านเลือกใช้บริการรักษาสุขภาพช่องปากโดยไม่กระทบเวลาการทำงานของท่าน,ท่านดูแลสุขภาพช่องปากอย่างเคร่งครัด เพื่อไม่ให้เกิดปัญหามากระทบการดำเนินชีวิตประจำวัน
Anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous,,,,,1-เลกนอย,2-ปานกลาง,1-เลกนอย,1-เลกนอย,0-ไมเลย,2-ปานกลาง,0-ไมเลย,1-เลกนอย,2-ปานกลาง,0-ไมเลย,0-ไมเลย,1-เลกนอย,1-เลกนอย,0-ไมเลย,0-ไมเลย,1-เลกนอย,0-ไมเลย,,0-ไมเลย,0-ไมเลย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-ไมเลย
napaporn.wk,cr-เชยงราย,ge-วสหกจทวไป,001,,1-เลกนอย,2-ปานกลาง,2-ปานกลาง,,,,3-มาก,,,3-มาก,,4-มากทสด,,3-มาก,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jack,cr-เชยงราย,pe-วสาหกจการผลต,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-มากทสด,,,,,,3-มาก,,,,,4-มากทสด,,,,,,,,,,,,,
Anonymous,cb-ชลบร,no-กเษตกรรม,04,,0-ไมเลย,3-มาก,0-ไมเลย,0-ไมเลย,0-ไมเลย,3-มาก,3-มาก,1-เลกนอย,0-ไมเลย,0-ไมเลย,1-เลกนอย,0-ไมเลย,3-มาก,1-เลกนอย,1-เลกนอย,2-ปานกลาง,3-มาก,3-มาก,3-มาก,0-ไมเลย,3-มาก,3-มาก,0-ไมเลย,1-เลกนอย,3-มาก,3-มาก,4-มากทสด,1-เลกนอย,2-ปานกลาง,4-มากทสด,1-เลกนอย,1-เลกนอย,1-เลกนอย,3-มาก,1-เลกนอย,3-มาก,3-มาก,3-มาก,1-เลกนอย,1-เลกนอย,3-มาก,3-มาก,1-เลกนอย,1-เลกนอย,2-ปานกลาง,2-ปานกลาง,1-เลกนอย,1-เลกนอย,1-เลกนอย,3-มาก,1-เลกนอย,3-มาก,3-มาก,1-เลกนอย,1-เลกนอย,1-เลกนอย,3-มาก
Anonymous,tr-ตง,ge-วสหกจทวไป,GETR02,JK,0-ไมเลย,3-มาก,2-ปานกลาง,0-ไมเลย,3-มาก,3-มาก,3-มาก,3-มาก,2-ปานกลาง,3-มาก,0-ไมเลย,0-ไมเลย,2-ปานกลาง,1-เลกนอย,2-ปานกลาง,1-เลกนอย,3-มาก,3-มาก,3-มาก,0-ไมเลย,3-มาก,3-มาก,0-ไมเลย,3-มาก,2-ปานกลาง,3-มาก,3-มาก,2-ปานกลาง,1-เลกนอย,2-ปานกลาง,3-มาก,2-ปานกลาง,3-มาก,2-ปานกลาง,1-เลกนอย,1-เลกนอย,3-มาก,3-มาก,2-ปานกลาง,0-ไมเลย,3-มาก,3-มาก,2-ปานกลาง,2-ปานกลาง,3-มาก,3-มาก,1-เลกนอย,1-เลกนอย,1-เลกนอย,1-เลกนอย,3-มาก,2-ปานกลาง,3-มาก,0-ไมเลย,3-มาก,3-มาก,3-มาก
Anonymous,tr-ตง,pe-วสาหกจการผลต,GETR09,PS,0-ไมเลย,4-มากทสด,4-มากทสด,2-ปานกลาง,2-ปานกลาง,4-มากทสด,2-ปานกลาง,4-มากทสด,2-ปานกลาง,2-ปานกลาง,3-มาก,2-ปานกลาง,3-มาก,1-เลกนอย,2-ปานกลาง,3-มาก,3-มาก,2-ปานกลาง,4-มากทสด,3-มาก,3-มาก,3-มาก,0-ไมเลย,3-มาก,4-มากทสด,4-มากทสด,3-มาก,3-มาก,2-ปานกลาง,4-มากทสด,4-มากทสด,3-มาก,2-ปานกลาง,3-มาก,4-มากทสด,1-เลกนอย,3-มาก,3-มาก,2-ปานกลาง,0-ไมเลย,3-มาก,2-ปานกลาง,3-มาก,2-ปานกลาง,3-มาก,3-มาก,2-ปานกลาง,3-มาก,4-มากทสด,4-มากทสด,2-ปานกลาง,2-ปานกลาง,4-มากทสด,2-ปานกลาง,2-ปานกลาง,3-มาก,3-มาก
Anonymous,tr-ตง,ge-วสหกจทวไป,GETR01,PW,2-ปานกลาง,3-มาก,3-มาก,0-ไมเลย,3-มาก,4-มากทสด,4-มากทสด,4-มากทสด,2-ปานกลาง,3-มาก,2-ปานกลาง,3-มาก,4-มากทสด,2-ปานกลาง,2-ปานกลาง,2-ปานกลาง,3-มาก,2-ปานกลาง,3-มาก,1-เลกนอย,3-มาก,2-ปานกลาง,0-ไมเลย,4-มากทสด,3-มาก,3-มาก,3-มาก,2-ปานกลาง,3-มาก,4-มากทสด,4-มากทสด,2-ปานกลาง,3-มาก,2-ปานกลาง,4-มากทสด,2-ปานกลาง,4-มากทสด,3-มาก,2-ปานกลาง,0-ไมเลย,2-ปานกลาง,2-ปานกลาง,4-มากทสด,4-มากทสด,4-มากทสด,2-ปานกลาง,2-ปานกลาง,3-มาก,0-ไมเลย,4-มากทสด,2-ปานกลาง,2-ปานกลาง,4-มากทสด,4-มากทสด,3-มาก,4-มากทสด,4-มากทสด
Anonymous,tr-ตง,ge-วสหกจทวไป,04,NK,2-ปานกลาง,2-ปานกลาง,3-มาก,4-มากทสด,3-มาก,1-เลกนอย,1-เลกนอย,2-ปานกลาง,2-ปานกลาง,2-ปานกลาง,3-มาก,3-มาก,2-ปานกลาง,2-ปานกลาง,2-ปานกลาง,1-เลกนอย,2-ปานกลาง,3-มาก,2-ปานกลาง,3-มาก,3-มาก,3-มาก,0-ไมเลย,2-ปานกลาง,2-ปานกลาง,2-ปานกลาง,4-มากทสด,2-ปานกลาง,0-ไมเลย,4-มากทสด,2-ปานกลาง,3-มาก,1-เลกนอย,3-มาก,4-มากทสด,2-ปานกลาง,3-มาก,2-ปานกลาง,1-เลกนอย,2-ปานกลาง,3-มาก,3-มาก,0-ไมเลย,1-เลกนอย,3-มาก,2-ปานกลาง,2-ปานกลาง,3-มาก,2-ปานกลาง,3-มาก,0-ไมเลย,2-ปานกลาง,1-เลกนอย,1-เลกนอย,1-เลกนอย,2-ปานกลาง,4-มากทสด
